SoortMisdrijf,RegioS,Perioden,Unnamed: 0,ID,TotaalGeregistreerdeMisdrijven_1,GeregistreerdeMisdrijvenRelatief_2,GeregistreerdeMisdrijvenPer1000Inw_3,TotaalOpgehelderdeMisdrijven_4,OpgehelderdeMisdrijvenRelatief_5,RegistratiesVanVerdachten_6
Brandstichting / ontploffing,Groningen (PV),2018,177955,177955,175.0,1.0,0.3,35.0,20.0,55.0
Brandstichting / ontploffing,Groningen (PV),2019,177956,177956,155.0,1.0,0.3,30.0,20.5,50.0
Brandstichting / ontploffing,Groningen (PV),2020,177957,177957,145.0,1.0,0.3,35.0,24.5,45.0
Brandstichting / ontploffing,Limburg (PV),2010,178068,178068,660.0,1.0,0.6,120.0,17.8,175.0
Brandstichting / ontploffing,Limburg (PV),2011,178069,178069,680.0,1.0,0.6,80.0,12.0,120.0
Brandstichting / ontploffing,Limburg (PV),2012,178070,178070,610.0,1.0,0.5,100.0,16.0,155.0
Brandstichting / ontploffing,Limburg (PV),2013,178071,178071,475.0,1.0,0.4,75.0,15.5,95.0
Brandstichting / ontploffing,Limburg (PV),2014,178072,178072,430.0,1.0,0.4,65.0,15.6,105.0
Brandstichting / ontploffing,Limburg (PV),2015,178073,178073,560.0,1.0,0.5,90.0,15.9,145.0
Brandstichting / ontploffing,Limburg (PV),2016,178074,178074,445.0,1.0,0.4,60.0,13.7,90.0
Brandstichting / ontploffing,Limburg (PV),2017,178075,178075,425.0,1.0,0.4,80.0,18.9,95.0
Brandstichting / ontploffing,Limburg (PV),2018,178076,178076,370.0,1.0,0.3,65.0,16.9,80.0
Brandstichting / ontploffing,Limburg (PV),2019,178077,178077,365.0,1.0,0.3,80.0,22.1,110.0
Brandstichting / ontploffing,Limburg (PV),2020,178078,178078,350.0,1.0,0.3,40.0,10.8,70.0
Brandstichting / ontploffing,Niet in te delen (PV),2010,178079,178079,0.0,0.0,0.0,0.0,0.0,0.0
Brandstichting / ontploffing,Niet in te delen (PV),2011,178080,178080,5.0,0.0,0.0,0.0,0.0,0.0
Brandstichting / ontploffing,Niet in te delen (PV),2012,178081,178081,5.0,0.0,0.0,0.0,0.0,5.0
Brandstichting / ontploffing,Niet in te delen (PV),2013,178082,178082,0.0,0.0,0.0,0.0,0.0,0.0
Brandstichting / ontploffing,Niet in te delen (PV),2014,178083,178083,0.0,0.0,0.0,0.0,0.0,0.0
Brandstichting / ontploffing,Niet in te delen (PV),2015,178084,178084,0.0,0.0,0.0,0.0,0.0,0.0
Brandstichting / ontploffing,Niet in te delen (PV),2016,178085,178085,0.0,0.0,0.0,0.0,0.0,0.0
Brandstichting / ontploffing,Niet in te delen (PV),2017,178086,178086,0.0,0.0,0.0,0.0,0.0,0.0
Brandstichting / ontploffing,Niet in te delen (PV),2018,178087,178087,5.0,0.0,0.0,5.0,60.0,5.0
Brandstichting / ontploffing,Niet in te delen (PV),2019,178088,178088,0.0,0.0,0.0,0.0,0.0,0.0
Brandstichting / ontploffing,Niet in te delen (PV),2020,178089,178089,0.0,0.0,0.0,0.0,0.0,0.0
Brandstichting / ontploffing,Noord-Brabant (PV),2010,178057,178057,1065.0,1.0,0.4,220.0,20.5,390.0
